,:START_ID,:END_ID,:TYPE
0,13,18,sweets
1,0,10,sweets
2,11,0,sweets
3,7,14,sweets
4,18,14,sweets
5,17,1,sweets
6,5,12,sweets
7,3,18,sweets
8,9,1,sweets
9,1,10,sweets
10,7,6,sweets
11,2,13,sweets
12,13,2,sweets
13,10,6,sweets
14,9,6,sweets
15,1,2,sweets
16,4,6,sweets
17,19,13,sweets
18,6,19,sweets
19,18,3,sweets
20,9,0,sweets
21,18,11,sweets
22,13,17,sweets
23,16,0,sweets
24,4,7,sweets
25,5,6,sweets
26,3,19,sweets
27,11,2,sweets
28,19,0,sweets
29,6,9,sweets
30,16,11,sweets
31,14,13,sweets
32,0,12,sweets
33,4,16,sweets
34,5,7,sweets
35,19,3,sweets
36,18,17,sweets
